id,a0,a1,a2,a3,a4
uno, 5.70819,37.3471,0.00109639,0,1,1
uno, 5.70819,167.257,0.00108903,0,1,1
uno, 5.70819,47.3311,0.00104166,0,1,1
uno, 8.07261,307.204,0.00168286,0,3,1
uno, 8.07261,50.8368,0.00109513,0,3,1
uno, 8.07261,256.242,0.00111413,0,3,1
uno, 8.07261,12.3201,0.00109206,0,3,1
uno, 8.07261,281.35,0.00124802,0,3,1
uno, 8.07261,202.725,0.00165433,0,3,1
uno, 8.07261,95.5545,0.00735195,0,3,1
uno, 8.07261,180.287,0.0015007,0,3,1
uno, 8.07261,235.938,0.00100357,0,3,1
uno, 8.07261,47.4093,0.0011458,0,3,1
uno, 8.07261,349.698,0.00156201,0,3,1
uno, 8.07261,152.528,0.00103747,0,3,1
uno, 8.07261,27.6572,0.00145492,0,3,1
uno, 8.07261,0.226862,0.00108444,0,3,1
uno, 8.07261,63.223,0.00112996,0,3,1
uno, 8.07261,163.379,0.00133921,0,3,1
uno, 8.07261,240.507,0.00154508,0,3,1
uno, 8.07261,184.099,0.00148074,0,3,1
uno, 8.07261,211.475,0.00124585,0,3,1
uno, 8.07261,68.5816,0.00114258,0,3,1
uno, 8.07261,171.528,0.00100599,0,3,1
uno, 8.07261,107.941,0.00109542,0,3,1
uno, 8.07261,111.559,0.00119839,0,3,1
uno, 8.07261,308.333,0.00138373,0,3,1
uno, 8.07261,139.449,0.00194329,0,3,1
uno, 8.07261,112.753,0.00180093,0,3,1
uno, 8.07261,232.849,0.00135641,0,3,1
uno, 8.07261,142.172,0.0011677,0,3,1
uno, 8.07261,179.505,0.00111774,0,3,1
uno, 8.07261,175.087,0.00115526,0,3,1
uno, 8.07261,255.945,0.00146626,0,3,1
uno, 8.07261,290.446,0.00114266,0,3,1
uno, 8.07261,19.0712,0.00106868,0,3,1
uno, 8.07261,54.4403,0.00101107,0,3,1
uno, 8.07261,21.4291,0.00128656,0,3,1
uno, 8.07261,166.248,0.00117058,0,3,1
uno, 8.07261,110.657,0.0010517,0,3,1
uno, 8.07261,97.7079,0.00105082,0,3,1
uno, 8.07261,184.536,0.00104021,0,3,1
uno, 8.07261,18.7229,0.00131695,0,3,1
uno, 8.07261,138.956,0.0100691,0,3,1
uno, 8.07261,152.897,0.00139972,0,3,1
uno, 8.07261,309.009,0.00210943,0,3,1
uno, 8.07261,208.044,0.00385443,0,3,1
uno, 8.07261,200.243,0.00109676,0,3,1
uno, 8.07261,200.663,0.00337678,0,3,1
uno, 8.07261,63.0925,0.00140557,0,3,1
uno, 8.07261,73.8765,0.00353128,0,3,1
uno, 8.07261,198.395,0.00727109,0,3,1
uno, 8.07261,63.9602,0.00237743,0,3,1
uno, 8.07261,262.102,0.00103233,0,3,1
uno, 8.07261,27.2211,0.00125776,0,3,1
uno, 8.07261,112.133,0.00106156,0,3,1
uno, 8.07261,6.31113,0.00135496,0,3,1
uno, 8.07261,17.9654,0.00188087,0,3,1
uno, 8.07261,287.35,0.00110042,0,3,1
uno, 8.07261,269.507,0.00134341,0,3,1
uno, 8.07261,7.46748,0.00106203,0,3,1
uno, 8.07261,237.4,0.00104725,0,3,1
uno, 8.07261,155.988,0.0016598,0,3,1
uno, 8.07261,304.276,0.00106235,0,3,1
uno, 8.07261,213.447,0.0015149,0,3,1
uno, 8.07261,202.227,0.00196653,0,3,1
uno, 8.07261,241.067,0.00119486,0,3,1
uno, 8.07261,196.997,0.00244085,0,3,1
uno, 8.07261,270.995,0.00101324,0,3,1
uno, 8.07261,184.832,0.00102969,0,3,1
uno, 8.07261,310.71,0.00103686,0,3,1
uno, 8.07261,54.618,0.00102799,0,3,1
uno, 8.07261,78.1016,0.00128385,0,3,1
uno, 8.07261,249.22,0.00121009,0,3,1
uno, 8.07261,139.326,0.00135863,0,3,1
uno, 8.07261,266.888,0.00115816,0,3,1
uno, 8.07261,127.49,0.00101386,0,3,1
uno, 8.07261,281.088,0.00126296,0,3,1
uno, 8.07261,252.124,0.0010364,0,3,1
uno, 8.07261,44.0782,0.0017915,0,3,1
uno, 8.07261,47.2494,0.0017174,0,3,1
uno, 8.07261,66.3172,0.00127753,0,3,1
uno, 8.07261,169.897,0.00143921,0,3,1
uno, 8.07261,248.638,0.00259936,0,3,1
