id,a0,a1,a2,a3,a4,Column1
cero,15.1567,270.755,236.326,0,-1,0
cero,18,284.189,42.9336,0,-1,0
cero,10.8462,322.32,31.7212,0,-1,0
cero,12.6,222.745,35.2,0,-1,0
cero,17,307.178,39.1667,0,-1,0
cero,14.0943,305.63,67.2288,0,-1,0
cero,14.625,302.785,36.5313,0,-1,0
cero,14.0832,252.391,33.6363,0,-1,0
cero,14.0217,308.948,40.8284,0,-1,0
cero,14.3571,222.564,37.1607,0,-1,0
cero,12.0732,322.636,41.0031,0,-1,0
cero,11.2,220.304,34.2667,0,-1,0
cero,12.2062,324.028,36.021,0,-1,0
cero,12.0638,228.3,37.0027,0,-1,0
cero,12.0732,227.96,43.0031,0,-1,0
cero,14.5385,12.4649,32.3269,0,-1,0
cero,14.1959,305.119,37.1655,0,-1,0
cero,13.1818,229.852,38.6402,0,-1,0
cero,14.0769,276.235,34.5577,0,-1,0
cero,13.8333,312.985,31.6806,0,-1,0
cero,13.479,240.945,33.2135,0,-1,0
cero,12.5808,329.468,32.6413,0,-1,0
cero,12.9562,333.456,37.1941,0,-1,0
cero,15,190.554,37.875,0,-1,0
cero,13.2857,226.008,38.6429,0,-1,0
cero,14,348.579,46,0,-1,0
cero,11.6809,158.482,30.0665,0,-1,0
cero,12.6,169.658,38.2,0,-1,0
cero,11.8421,12.6118,38.0132,0,-1,0
cero,14.7,234.005,35.025,0,-1,0
cero,12.4884,271.6,31.1424,0,-1,0
cero,13.9565,265.785,32.2228,0,-1,0
cero,13.75,179.2,31.0208,0,-1,0
cero,13.3333,282.898,35.8889,0,-1,0
cero,11.8421,208.574,31.0066,0,-1,0
cero,14.2,278.403,36.0167,0,-1,0
cero,13.957,322.4,50.4056,0,-1,0
cero,12.7495,303.526,33.325,0,-1,0
cero,12.4091,229.649,43.1023,0,-1,0
cero,13.08,0.947011,32.405,0,-1,0
cero,13.3333,341.595,39.8889,0,-1,0
cero,14.0625,236.545,38.8906,0,-1,0
cero,14.6138,320.37,33.2041,0,-1,0
cero,14.1175,316.48,35.2288,0,-1,0
cero,12.8462,293.133,30.3878,0,-1,0
cero,13.736,228.389,36.2913,0,-1,0
cero,13.3869,302.019,47.3449,0,-1,0
cero,13.6116,305.622,47.4549,0,-1,0
cero,12.7714,21.9129,36.2893,0,-1,0
cero,13.1633,321.12,43.9209,0,-1,0
cero,13.3448,242.823,30.7285,0,-1,0
cero,13.3404,325.6,52.1729,0,-1,0
cero,14.5385,322.164,38.3269,0,-1,0
cero,12.1,308.222,42.0083,0,-1,0
cero,12.8243,11.6057,40.3702,0,-1,0
cero,10.875,67.8682,31.5625,0,-1,0
cero,13.25,269.641,44.0417,0,-1,0
cero,11.4706,265.464,33.1324,0,-1,0
cero,12.9545,98.2489,46.5568,0,-1,0
cero,15,254.482,44.125,0,-1,0
cero,15,272.952,33.125,0,-1,0
cero,12.3488,87.7027,30.0727,0,-1,0
cero,13.9277,260.166,31.5082,0,-1,0
cero,13.7368,273.418,32.7961,0,-1,0
cero,11.6512,344.842,32.0727,0,-1,0
cero,12.3333,71.1497,42.0556,0,-1,0
cero,16.3333,284.474,36.6945,0,-1,0
cero,10.9355,64.5257,32.4879,0,-1,0
cero,18,239.707,40,0,-1,0
cero,12.4,331.511,35.0667,0,-1,0
cero,14.7073,310.206,48.1738,0,-1,0
cero,16.4585,211.531,43.5524,0,-1,0
cero,14.0993,184.176,35.7381,0,-1,0
cero,13.7727,47.1252,49.9205,0,-1,0
cero,12.3,76.0576,51.05,0,-1,0
cero,13.5282,20.0825,30.8166,0,-1,0
cero,13.6667,359.14,34.3889,0,-1,0
cero,14.6365,357.857,36.8649,0,-1,0
cero,12.931,149.786,32.3491,0,-1,0
cero,12.4286,261.621,37.1071,0,-1,0
cero,15,223.039,40.625,0,-1,0
cero,13.2439,267.226,35.8811,0,-1,0
cero,13.4442,323.254,40.9769,0,-1,0
cero,12.8824,239.3,37.3676,0,-1,0
cero,13.2162,230.855,36.7601,0,-1,0
cero,13.1739,214.508,33.4402,0,-1,0
cero,14.7391,217.38,36.3967,0,-1,0
cero,13.6738,301.769,37.057,0,-1,0
cero,11.7,273.906,33.05,0,-1,0
cero,15,234.847,37,0,-1,0
cero,12.6767,34.1743,36.192,0,-1,0
cero,12.6316,289.844,34.2105,0,-1,0
cero,12.5122,257.822,37.1494,0,-1,0
cero,14.4,120.034,32.6,0,-1,0
