id,a0,a1,a2,a3,a4,
cero,8.4,328.45,39.04,0,-1,0
cero,8.4,216.137,43.12,0,-1,0
cero,9.18182,323.867,39.6402,0,-1,0
cero,8.4,21.8001,36.1066,0,-1,0
cero,8.4,283.804,49.36,0,-1,0
cero,10.7647,294.729,36.3603,0,-1,0
cero,9.42857,211.476,57.8571,0,-1,0
cero,8.4,24.9027,67,0,-1,0
cero,8.4,191.508,71.92,0,-1,0
cero,10.9149,222.066,65.7686,0,-1,0
cero,11,191.861,38.5833,0,-1,0
cero,8.4,32.7628,46.8,0,-1,0
cero,11.0233,61.7934,65.1395,0,-1,0
cero,9.34286,340.652,146.296,0,-1,0
cero,10.2706,112.727,126.531,0,-1,0
cero,10.2857,280.938,99.3334,0,-1,0
cero,8.4,97.1224,41.6533,0,-1,0
cero,9.58537,33.6879,57.3201,0,-1,0
cero,10.3333,209.231,58.0417,0,-1,0
cero,10.3528,342.002,32.1887,0,-1,0
cero,10.3333,219.758,33.6944,0,-1,0
cero,11.3192,206.107,40.2831,0,-1,0
cero,12.4545,186.832,48.1894,0,-1,0
cero,11.1509,195.522,39.5307,0,-1,0
cero,11.8889,194.311,55.0093,0,-1,0
cero,10.2414,266.639,36.2457,0,-1,0
cero,11.495,275.858,95.3577,0,-1,0
cero,11.5574,226.574,68.166,0,-1,0
cero,12.1739,297.167,105.51,0,-1,0
cero,12.1034,59.9065,80.0129,0,-1,0
cero,10.0169,205.735,65.2225,0,-1,0
cero,12.4615,57.9771,56.0769,0,-1,0
cero,11.4643,61.2076,50.2232,0,-1,0
cero,9,305.194,34.5,0,-1,0
cero,11.0769,54.1085,55.9231,0,-1,0
cero,12.1429,215.225,37.0119,0,-1,0
cero,12.3077,183.864,57.1025,0,-1,0
cero,11.928,55.1415,102.009,0,-1,0
cero,12.9231,216.304,86.6154,0,-1,0
cero,10.5,278.556,35.125,0,-1,0
cero,12.1304,274.38,30.0054,0,-1,0
cero,9.46154,38.8647,54.1635,0,-1,0
cero,11.4,331.339,40.1,0,-1,0
cero,8.4,330.518,41.36,0,-1,0
cero,12.5,259.349,42.0833,0,-1,0
cero,12.7778,303.314,30.2269,0,-1,0
cero,13.9565,340.595,36.2228,0,-1,0
cero,13,0.886754,44.4583,0,-1,0
cero,11.4507,31.035,78.2975,0,-1,0
cero,10.5882,37.0248,71.8824,0,-1,0
cero,10.6421,73.576,95.4329,0,-1,0
cero,10.7647,67.8292,36.7206,0,-1,0
cero,9.33333,61.5228,63.3333,0,-1,0
cero,11.5333,189.826,55.2722,0,-1,0
cero,13.2,173.866,64.6,0,-1,0
cero,9.6,169.991,68.2,0,-1,0
cero,12,227.059,36,0,-1,0
cero,10.6525,306.232,102.459,0,-1,0
cero,12.308,304.692,108.206,0,-1,0
cero,13.7778,14.868,68.3704,0,-1,0
