id,a0,a1,a2,a3,a4,
cero,31,304.379,0.000163568,0,-1,0
cero,31,274.931,9.78E-05,0,-1,0
cero,31,84.5885,0.000143542,0,-1,0
cero,31,115.208,0.000179942,0,-1,0
cero,31,100.396,0.000113498,0,-1,0
cero,31,337.342,0.000125481,0,-1,0
cero,31,202.248,0.000168642,0,-1,0
cero,31,218.895,0.000124595,0,-1,0
cero,31,189.86,0.000195157,0,-1,0
cero,31,43.4852,0.000151889,0,-1,0
cero,31,91.5667,0.000201264,0,-1,0
cero,31,250.866,0.000152773,0,-1,0
cero,31,115.751,0.000107305,0,-1,0
cero,31,29.4557,0.000195303,0,-1,0
cero,31,166.259,0.000127145,0,-1,0
cero,31,34.8249,0.000122042,0,-1,0
cero,31,287.494,0.000193016,0,-1,0
cero,31,190.457,0.000143491,0,-1,0
cero,31,300.502,0.000164079,0,-1,0
cero,31,182.856,0.000118768,0,-1,0
cero,31,213.533,0.000124814,0,-1,0
cero,31,349.02,0.000110119,0,-1,0
cero,31,232.139,0.000176088,0,-1,0
cero,31,169.583,0.000170527,0,-1,0
cero,31,289.817,0.000115617,0,-1,0
cero,31,33.1182,0.000122108,0,-1,0
cero,31,6.76563,0.000196075,0,-1,0
cero,31,10.9674,9.89E-05,0,-1,0
cero,31,232.183,9.67E-05,0,-1,0
cero,31,186.434,0.00018477,0,-1,0
cero,31,119.383,0.000103559,0,-1,0
cero,31,305.682,0.000312754,0,-1,0
cero,31,276.091,0.000196865,0,-1,0
cero,31,215.934,0.000189527,0,-1,0
cero,31,200.436,0.00017042,0,-1,0
cero,31,328.329,0.000137967,0,-1,0
cero,31,318.711,0.000113555,0,-1,0
cero,31,305.08,0.000123748,0,-1,0
cero,31,333.552,0.000140035,0,-1,0
cero,31,197.427,0.000213771,0,-1,0
cero,31,44.4482,0.000179932,0,-1,0
cero,31,241.557,0.00010843,0,-1,0
cero,31,21.4313,0.000112407,0,-1,0
cero,31,178.182,0.000207892,0,-1,0
cero,31,203.836,0.000113352,0,-1,0
cero,31,303.595,0.000199428,0,-1,0
cero,31,145.978,0.000162661,0,-1,0
cero,31,203.753,0.000111662,0,-1,0
cero,31,235.099,0.000126043,0,-1,0
