id,a0,a1,a2,a3,a4,
cero,14.1416,296.718,35.9242,0,-1,0
cero,11.9143,183.937,31.0036,0,-1,0
cero,13.7185,249.745,32.5561,0,-1,0
cero,14.9063,82.3453,38.5027,0,-1,0
cero,15.0265,17.3415,39.5416,0,-1,0
cero,13.6451,276.51,36.2623,0,-1,0
cero,11.4906,269.023,37.191,0,-1,0
cero,13.3048,295.463,32.9937,0,-1,0
cero,14.4667,7.08932,55.8028,0,-1,0
cero,14.9601,300.906,39.7721,0,-1,0
cero,12.6735,233.983,40.3087,0,-1,0
cero,12.2571,290.608,32.0321,0,-1,0
cero,12.8462,281.913,34.3878,0,-1,0
cero,14.3333,226.84,36.0417,0,-1,0
cero,12.3333,55.618,31.0556,0,-1,0
cero,12.24,160.466,49.04,0,-1,0
cero,14.291,206.215,33.5044,0,-1,0
cero,14.5,167.006,33.0833,0,-1,0
cero,12.6581,280.357,33.2072,0,-1,0
cero,12.4331,170.519,39.8905,0,-1,0
cero,12,256.271,34,0,-1,0
cero,13.0541,19.0037,36.5709,0,-1,0
cero,12.3103,197,33.0388,0,-1,0
cero,12.4446,339.158,31.3562,0,-1,0
cero,14.3571,256.545,36.1607,0,-1,0
cero,13.3715,274.655,30.6096,0,-1,0
cero,12.6364,346.822,32.1856,0,-1,0
cero,12.3014,234.954,33.9594,0,-1,0
cero,13.8287,30.7388,48.3257,0,-1,0
cero,14.8799,260.122,32.3944,0,-1,0
cero,12.45,59.8836,34.1125,0,-1,0
cero,12.84,206.894,35.245,0,-1,0
cero,14.4342,246.615,35.09,0,-1,0
cero,13.7543,338.623,51.3853,0,-1,0
cero,12.3333,199.859,32.0556,0,-1,0
cero,14.8,96.4236,42.2667,0,-1,0
cero,13.7273,288.323,35.3674,0,-1,0
cero,14.1892,287.524,42.4628,0,-1,0
cero,14.7391,45.4165,40.3967,0,-1,0
cero,14.1762,275.084,49.821,0,-1,0
cero,12.24,140.094,34.04,0,-1,0
cero,12.24,12.0078,35.04,0,-1,0
cero,12.9964,270.371,34.4698,0,-1,0
cero,14.8392,103.13,35.079,0,-1,0
cero,11.56,288.041,50.2017,0,-1,0
cero,13,181.597,30.5,0,-1,0
cero,14.7454,264.29,34.3759,0,-1,0
cero,13.125,236.358,34.5625,0,-1,0
cero,12.6,254.424,39.2,0,-1,0
cero,13.3541,252.069,35.6264,0,-1,0
cero,13.4732,90.4549,32.8895,0,-1,0
cero,12.5,267.515,31.125,0,-1,0
cero,13.5882,260.426,69.3824,0,-1,0
cero,12.913,54.0289,30.2663,0,-1,0
cero,13.8167,319.277,52.034,0,-1,0
cero,14.063,231.279,43.8872,0,-1,0
cero,14.9926,14.7419,37.2379,0,-1,0
cero,14.2338,103.78,38.9067,0,-1,0
cero,12.7895,253.063,52.4934,0,-1,0
cero,13.4516,105.209,33.9073,0,-1,0
cero,12.3153,182.998,33.3499,0,-1,0
cero,13.3784,227.898,35.9763,0,-1,0
cero,13.6286,344.067,33.2893,0,-1,0
cero,12.7382,85.4855,44.3149,0,-1,0
cero,14.1111,183.256,35.6713,0,-1,0
cero,13.9091,70.989,33.1136,0,-1,0
cero,13.3077,351.189,33.9263,0,-1,0
cero,14.4,322.401,35.4,0,-1,0
cero,13.5882,191.181,35.1912,0,-1,0
cero,11.76,29.4977,37.04,0,-1,0
cero,13.8792,77.3485,31.4005,0,-1,0
cero,13.0008,235.206,33.446,0,-1,0
cero,15.0725,357.625,56.0525,0,-1,0
cero,14.1369,234.464,50.7408,0,-1,0
cero,14.1973,132.38,36.3204,0,-1,0
cero,13.4516,251.221,32.9073,0,-1,0
cero,13.05,161.418,35.6125,0,-1,0
cero,14.0622,309.77,45.2487,0,-1,0
cero,13.2153,150.819,47.3432,0,-1,0
cero,13.3404,190.963,44.1729,0,-1,0
cero,13.9231,249.74,45.0032,0,-1,0
cero,12,61.5504,31.376,0,-1,0
cero,13.4329,193.542,38.8492,0,-1,0
cero,14.3969,44.7132,37.6613,0,-1,0
cero,12.5385,247.81,30.1571,0,-1,0
cero,12.931,123.263,30.3491,0,-1,0
cero,13.9299,9.91415,36.3851,0,-1,0
cero,13.1667,209.071,38.6806,0,-1,0
cero,14,20.3772,33.3333,0,-1,0
cero,14.5385,137.848,36.3269,0,-1,0
cero,11.9268,196.762,34.0031,0,-1,0
cero,13.8957,228.234,47.3669,0,-1,0
cero,14.1428,171.384,35.2077,0,-1,0
cero,13.4,155.308,55.225,0,-1,0
cero,13.1818,248.862,35.6402,0,-1,0
cero,13.4286,320.371,41.1905,0,-1,0
cero,13.6163,41.4626,37.4124,0,-1,0
cero,13.9023,27.2649,33.1488,0,-1,0
cero,12.8824,188.548,34.3676,0,-1,0
cero,15.6196,78.4481,38.1337,0,-1,0
cero,14.6511,128.056,32.8656,0,-1,0
cero,12.3645,166.89,33.7825,0,-1,0
cero,13.4147,319.894,55.4734,0,-1,0
cero,12.2308,153.729,30.0192,0,-1,0
cero,11.8,5.15167,30.0167,0,-1,0
cero,12.9429,168.803,30.4321,0,-1,0
cero,12.2903,82.6246,31.0363,0,-1,0
cero,12.1154,197.357,37.0096,0,-1,0
cero,14.3793,165.612,33.2802,0,-1,0
cero,14.7778,320.416,34.8935,0,-1,0
cero,13.0503,55.1623,34.1023,0,-1,0
cero,13.728,91.6923,34.6005,0,-1,0
cero,13.3344,33.0046,34.8216,0,-1,0
cero,12.0638,317.58,35.0027,0,-1,0
cero,12.14,169.185,30.4384,0,-1,0
cero,12.6154,64.2311,58.4102,0,-1,0
cero,13.08,86.1828,35.405,0,-1,0
cero,13.5,103.392,39.25,0,-1,0
cero,13.5,225.644,42.125,0,-1,0
cero,14.1521,140.167,53.6969,0,-1,0
cero,13.5194,319.001,32.979,0,-1,0
cero,13.8462,318.764,41.2308,0,-1,0
cero,14.5556,134.15,33.4491,0,-1,0
cero,14.3136,143.846,44.6077,0,-1,0
cero,14.7692,106.416,33.7692,0,-1,0
cero,14.0422,164.372,49.1368,0,-1,0
cero,13.4118,131.034,33.9412,0,-1,0
cero,14.849,328.148,42.7006,0,-1,0
cero,12.6429,83.1087,30.1607,0,-1,0
cero,12.9743,165.482,36.9618,0,-1,0
cero,13.7701,149.923,32.3173,0,-1,0
cero,14.3571,98.245,35.1607,0,-1,0
cero,14.8352,121.867,32.5024,0,-1,0
cero,12.2373,33.3019,43.3228,0,-1,0
cero,12.595,87.2542,31.322,0,-1,0
cero,13.991,155.701,37.3907,0,-1,0
cero,13.9091,91.9863,36.6705,0,-1,0
cero,12.4054,350.053,34.0845,0,-1,0
cero,12.2432,56.5817,33.0304,0,-1,0
cero,13.4624,155.102,38.9724,0,-1,0
cero,14.8467,344.849,42.366,0,-1,0
cero,15.4396,342.11,33.3986,0,-1,0
cero,15.5455,162.599,51.1214,0,-1,0
cero,13.1053,60.2642,34.6447,0,-1,0
cero,13.7238,225.376,38.8398,0,-1,0
cero,12.7059,355.873,38.2353,0,-1,0
cero,12.1525,57.4077,43.0191,0,-1,0
cero,12.75,293.322,30.25,0,-1,0
cero,12.8594,240.706,40.9378,0,-1,0
cero,14.04,263.992,31.445,0,-1,0
cero,12.3659,248.948,32.0762,0,-1,0
cero,14.6571,179.042,49.4321,0,-1,0
cero,13.4345,123.177,31.6595,0,-1,0
cero,13.5002,67.1783,32.9982,0,-1,0
cero,13.6142,148.613,38.1294,0,-1,0
cero,13.2353,149.511,33.7206,0,-1,0
cero,11.9434,271.509,35.0024,0,-1,0
cero,12.7391,238.356,56.5236,0,-1,0
cero,13.5,78.8906,33.875,0,-1,0
cero,12.9429,0.564897,30.4321,0,-1,0
cero,13.2763,144.513,32.1326,0,-1,0
cero,12.6522,94.2763,39.4438,0,-1,0
cero,14.4783,193.969,32.962,0,-1,0
cero,12.3231,277.575,43.7831,0,-1,0
cero,13.4286,214.849,41.1905,0,-1,0
cero,13.2274,90.823,43.4652,0,-1,0
cero,12.1579,139.314,34.0132,0,-1,0
cero,12.8182,165.772,30.3068,0,-1,0
cero,14.4216,152.233,34.7456,0,-1,0
cero,14.7968,29.5992,33.5423,0,-1,0
cero,11.7619,136.528,39.0496,0,-1,0
cero,12.8571,209.515,30.2857,0,-1,0
cero,14.4783,318.636,31.962,0,-1,0
cero,13.6452,291.834,38.1653,0,-1,0
cero,12.4047,135.49,40.1156,0,-1,0
cero,13.9091,239.31,39.6705,0,-1,0
cero,14.4545,32.3862,57.6818,0,-1,0
cero,12.6785,180.249,41.1293,0,-1,0
cero,12.3267,41.6539,38.5222,0,-1,0
cero,12.9375,178.844,30.3906,0,-1,0
cero,12.9866,308.105,35.4476,0,-1,0
cero,13.2581,13.5024,32.6814,0,-1,0
cero,11.935,179.822,34.5789,0,-1,0
cero,12.6667,103.453,34.2222,0,-1,0
cero,12.9924,54.2412,33.5278,0,-1,0
cero,14.3333,351.898,42.7222,0,-1,0
cero,11.2,244.259,30.2667,0,-1,0
cero,15.4916,288.383,47.5386,0,-1,0
cero,13.3444,168.544,30.7331,0,-1,0
cero,12.3,63.5608,30.05,0,-1,0
cero,14.6129,82.9289,45.9395,0,-1,0
cero,15.75,196.524,57.0763,0,-1,0
cero,14.3618,29.2473,40.4274,0,-1,0
cero,12.9325,78.0061,34.9172,0,-1,0
cero,12.9871,126.449,32.6076,0,-1,0
cero,13.7115,237.214,42.9546,0,-1,0
cero,12.6774,290.695,31.1976,0,-1,0
cero,14.1111,229.735,32.6713,0,-1,0
cero,14.537,192.536,40.4663,0,-1,0
cero,14.4286,54.6916,54.4405,0,-1,0
cero,13.312,43.1881,34.4694,0,-1,0
cero,13.0645,236.558,31.4879,0,-1,0
cero,12.7926,58.5159,30.2899,0,-1,0
cero,13.9029,95.7158,47.2914,0,-1,0
cero,12.4836,106.137,39.9727,0,-1,0
cero,14.4891,50.1406,33.5395,0,-1,0
cero,12.1649,137.39,31.2032,0,-1,0
cero,13.2667,301.814,46.0028,0,-1,0
cero,13.4615,105.296,39.157,0,-1,0
cero,13.2857,344.046,31.6429,0,-1,0
cero,15.4479,127.143,38.6873,0,-1,0
cero,13.9655,192.312,32.556,0,-1,0
cero,13.6352,52.8948,32.2818,0,-1,0
cero,12.3579,72.4789,36.235,0,-1,0
cero,12.981,108.238,41.1179,0,-1,0
cero,14.2379,37.2761,32.5517,0,-1,0
cero,13.5366,310.85,41.3445,0,-1,0
cero,12.4841,31.4596,37.7118,0,-1,0
cero,13.5744,216.463,31.9934,0,-1,0
cero,13.5701,21.902,32.899,0,-1,0
cero,13.4329,70.5992,32.8846,0,-1,0
cero,14.25,211.214,33.6875,0,-1,0
cero,13.5,143.389,32.875,0,-1,0
cero,13.6606,214.961,43.3312,0,-1,0
cero,13.6937,230.202,45.5806,0,-1,0
cero,12.24,223.625,37.04,0,-1,0
cero,14.3514,235.805,46.8412,0,-1,0
cero,13.3125,246.679,34.7656,0,-1,0
cero,14.25,293.578,37.25,0,-1,0
cero,13.9415,273.149,51.9589,0,-1,0
cero,16.3333,28.4977,37.6945,0,-1,0
cero,12.5676,190.038,35.1655,0,-1,0
cero,14.1111,296.16,34.6713,0,-1,0
cero,15.5714,226.25,36.7202,0,-1,0
cero,12.0732,254.039,38.0031,0,-1,0
cero,14.0067,287.442,34.2908,0,-1,0
cero,12.9923,218.475,39.596,0,-1,0
cero,15,58.7875,42.375,0,-1,0
cero,16.1204,206.215,35.5044,0,-1,0
cero,12.9375,289.234,33.3906,0,-1,0
cero,13.1939,268.263,42.8213,0,-1,0
cero,14.76,287.498,34.645,0,-1,0
cero,12.7297,291.997,32.2737,0,-1,0
cero,11.9388,268.873,35.0025,0,-1,0
cero,14.0625,319.293,36.8906,0,-1,0
cero,14.4803,250.658,33.9949,0,-1,0
cero,12.988,291.266,34.7118,0,-1,0
cero,11.2857,261.586,35.2976,0,-1,0
cero,12.3158,289.372,32.0526,0,-1,0
cero,14.2174,279.329,33.5707,0,-1,0
cero,12.5094,265.874,47.191,0,-1,0
cero,11.7778,224.346,38.037,0,-1,0
cero,14.364,228.416,31.7283,0,-1,0
cero,14.1111,318.112,33.6713,0,-1,0
cero,13,261.303,33.5,0,-1,0
cero,14.3848,227.906,33.0243,0,-1,0
cero,14.3571,352.077,36.1607,0,-1,0
cero,14.625,266.231,47.0625,0,-1,0
cero,14.5883,281.426,35.998,0,-1,0
cero,14.2439,292.773,42.0804,0,-1,0
cero,13.4267,194.521,30.728,0,-1,0
cero,11.88,188.503,35.01,0,-1,0
cero,12.75,7.391,35.25,0,-1,0
cero,14.0853,291.978,37.4964,0,-1,0
cero,12.8284,325.586,30.3286,0,-1,0
cero,12.6412,315.12,32.9286,0,-1,0
cero,12.6207,180.832,43.3103,0,-1,0
cero,15.4949,18.8364,51.4851,0,-1,0
cero,11.9434,172.688,38.0024,0,-1,0
cero,14.25,202.424,41.25,0,-1,0
cero,12.3,240.81,31.05,0,-1,0
cero,13.6667,107.617,33.0417,0,-1,0
cero,14.75,238.464,38.5208,0,-1,0
cero,14.3793,172.387,37.2802,0,-1,0
cero,12.7358,102.296,46.3986,0,-1,0
cero,14.04,298.368,32.445,0,-1,0
cero,13.0341,108.893,37.9099,0,-1,0
cero,11.5091,185.285,35.1841,0,-1,0
cero,12.7241,94.6392,44.4224,0,-1,0
cero,12.625,80.7585,37.2604,0,-1,0
cero,14.369,63.494,48.6974,0,-1,0
cero,14.0123,196.678,35.2561,0,-1,0
cero,14.04,330.45,34.445,0,-1,0
cero,18,124.928,40,0,-1,0
cero,13.682,353.013,51.0853,0,-1,0
cero,12.9585,309.898,30.4255,0,-1,0
cero,13.8612,173.496,38.2811,0,-1,0
cero,12.1304,145.703,36.0109,0,-1,0
cero,15.6621,260.569,43.6985,0,-1,0
cero,11.75,32.5487,35.5283,0,-1,0
cero,13.9714,269.882,38.8893,0,-1,0
cero,12.5745,301.788,39.2154,0,-1,0
cero,12.9161,63.9478,32.404,0,-1,0
cero,13.5989,274.053,41.1053,0,-1,0
cero,14.6624,30.3612,60.1728,0,-1,0
cero,11.9366,299.252,33.1706,0,-1,0
cero,13,23.1126,32.4583,0,-1,0
cero,12.0588,69.3668,32.0024,0,-1,0
cero,13.4516,292.018,37.9073,0,-1,0
cero,12.15,209.822,32.0125,0,-1,0
cero,13.5397,317.476,45.3062,0,-1,0
cero,13.5,328.7,34,0,-1,0
cero,13.9714,296.437,47.8893,0,-1,0
cero,13.6581,294.212,55.7389,0,-1,0
cero,14.7515,48.331,50.9488,0,-1,0
cero,12.9321,143.81,43.5524,0,-1,0
cero,13.2323,154.501,45.908,0,-1,0
cero,15.0348,185.812,36.6708,0,-1,0
cero,13.395,169.005,36.8486,0,-1,0
cero,13.0435,203.202,42.6956,0,-1,0
cero,14.6725,315.246,38.6231,0,-1,0
cero,13.1667,25.0568,34.6806,0,-1,0
cero,12.4286,160.463,38.1429,0,-1,0
cero,12.0638,310.214,33.0027,0,-1,0
cero,12.3887,348.805,43.2505,0,-1,0
cero,14.5924,171.022,41.162,0,-1,0
cero,14.4129,212.123,51.6656,0,-1,0
cero,12.5,312.115,31.125,0,-1,0
cero,11.7805,99.0684,30.0275,0,-1,0
cero,14.5726,200.406,40.2344,0,-1,0
cero,12.2609,222.23,37.0435,0,-1,0
cero,12.8462,210.991,32.3878,0,-1,0
cero,13.08,82.6969,54.81,0,-1,0
cero,12.6364,251.858,32.1856,0,-1,0
cero,12.6,109.309,31.225,0,-1,0
cero,12.8049,325.858,34.3689,0,-1,0
cero,13.4467,304.771,37.3595,0,-1,0
cero,12.3659,109.936,30.0762,0,-1,0
cero,11.9388,321.014,32.0025,0,-1,0
cero,11.5333,107.245,30.1361,0,-1,0
cero,13.32,119.85,31.605,0,-1,0
cero,14.6557,169.507,49.1415,0,-1,0
cero,12.4286,131.23,30.0893,0,-1,0
cero,13.7122,119.877,32.0536,0,-1,0
cero,14.3077,238.453,34.9231,0,-1,0
cero,13.4316,340.228,34.0405,0,-1,0
cero,13.5405,119.456,39.2196,0,-1,0
cero,15,113.348,32.875,0,-1,0
cero,13.1099,88.9285,38.4652,0,-1,0
cero,12.567,330.022,36.3531,0,-1,0
cero,14.3333,311.478,38.0417,0,-1,0
cero,13.4241,152.139,37.6401,0,-1,0
cero,14.5714,48.4558,54.8571,0,-1,0
cero,14.2428,67.4677,31.599,0,-1,0
cero,12.2143,325.767,41.0357,0,-1,0
cero,12.216,145.095,39.8153,0,-1,0
