id,a0,a1,a2,a3,a4,
cero,10.306,188.365,220.694,0,-1,0
cero,12.7241,121.809,30.2112,0,-1,0
cero,11.9168,187.943,227.598,0,-1,0
cero,11.9231,283.575,37.0032,0,-1,0
cero,9,189.317,196.125,0,-1,0
cero,9,192.942,197.25,0,-1,0
cero,8.4,197.711,177.32,0,-1,0
cero,12.6481,191.442,196.509,0,-1,0
cero,10.8905,190.34,180.352,0,-1,0
cero,15.2722,37.7995,33.5607,0,-1,0
cero,13.0616,206.809,31.5722,0,-1,0
cero,9.6,181.783,174,0,-1,0
cero,13.2353,25.1374,33.7206,0,-1,0
cero,11.1346,178.998,183.389,0,-1,0
cero,12.0774,178.973,171.882,0,-1,0
cero,8.80165,177.656,165.191,0,-1,0
cero,14.1429,40.4208,51.2321,0,-1,0
cero,12.9204,297.59,31.8496,0,-1,0
cero,9.13953,182.123,162.66,0,-1,0
cero,11.0118,185.527,158.004,0,-1,0
cero,12.3488,110.42,38.0727,0,-1,0
cero,12.7143,187.96,134.488,0,-1,0
cero,9.28037,191.823,148.992,0,-1,0
cero,11.9143,348.102,32.0036,0,-1,0
cero,9.15135,195.667,142.833,0,-1,0
cero,9,195.611,138.75,0,-1,0
cero,12.75,330.74,42.25,0,-1,0
cero,13.1691,65.6524,33.5737,0,-1,0
cero,14.0464,247.015,34.798,0,-1,0
cero,14.313,195.62,126.734,0,-1,0
cero,12.4,20.9146,36.0667,0,-1,0
cero,13.5,195.757,121.875,0,-1,0
cero,14.6878,195.889,150.371,0,-1,0
cero,12.6774,210.822,31.1976,0,-1,0
cero,12.1101,194.936,116.037,0,-1,0
cero,14.7778,65.2287,36.8935,0,-1,0
cero,10.1937,192.638,156.831,0,-1,0
cero,12.6774,103.879,34.1976,0,-1,0
cero,11.9268,179.737,35.0031,0,-1,0
cero,12.7059,184.864,31.2353,0,-1,0
cero,11.9044,194.658,138.421,0,-1,0
cero,14.5028,107.378,32.4613,0,-1,0
cero,13.75,229.707,37.0208,0,-1,0
cero,13.3492,194.301,142.778,0,-1,0
cero,12.7021,35.8532,34.3218,0,-1,0
cero,9,191.437,155.25,0,-1,0
cero,9.23684,193.339,154.323,0,-1,0
cero,13.3125,1.39448,33.7656,0,-1,0
cero,14.3838,240.733,32.8858,0,-1,0
cero,12.8491,197.642,139.123,0,-1,0
cero,14.2334,234.812,36.9857,0,-1,0
cero,14.5179,122.866,35.6151,0,-1,0
cero,8.80952,202.071,140.907,0,-1,0
cero,9,207.057,147.625,0,-1,0
cero,12.4286,82.0271,30.0714,0,-1,0
cero,12.2432,197.005,32.0304,0,-1,0
cero,9.12121,208.351,146.395,0,-1,0
cero,13.8772,199.355,149.369,0,-1,0
cero,14.5275,70.5673,36.504,0,-1,0
cero,13.3271,46.7896,31.227,0,-1,0
cero,13.9091,46.8681,33.6705,0,-1,0
cero,9,199.612,146.25,0,-1,0
cero,12.1429,38.3434,33.0119,0,-1,0
cero,12.45,344.735,30.1125,0,-1,0
cero,8.58621,193.668,149.082,0,-1,0
cero,14,4.45585,34.6667,0,-1,0
cero,13.1379,14.6131,35.5215,0,-1,0
cero,13.6618,295.065,36.1345,0,-1,0
cero,12.6781,191.944,143.469,0,-1,0
cero,14,69.5874,35.3333,0,-1,0
cero,14.5048,234.043,35.4709,0,-1,0
cero,11.8,156.762,30.0167,0,-1,0
cero,13.0588,199.193,40.5294,0,-1,0
cero,14.3571,3.29949,35.1607,0,-1,0
cero,13.8,168.495,36.575,0,-1,0
cero,12.1778,186.687,143.119,0,-1,0
cero,13.875,192.504,32.5625,0,-1,0
cero,9,183.878,159.625,0,-1,0
cero,12.2308,228.72,31.0288,0,-1,0
cero,10.0218,184.251,172.096,0,-1,0
cero,8.85938,183.673,158.535,0,-1,0
cero,12.3297,193.02,30.0462,0,-1,0
cero,12.8571,254.237,47.5714,0,-1,0
cero,15,258.111,32.75,0,-1,0
cero,12.0746,270.964,30.6008,0,-1,0
cero,13.3729,190.522,134.633,0,-1,0
cero,9.13043,195.015,136.261,0,-1,0
cero,9,198.358,133.5,0,-1,0
cero,12.1475,195.976,128.074,0,-1,0
cero,13.8889,49.4833,36.338,0,-1,0
cero,12.871,42.652,33.3266,0,-1,0
cero,9.12165,199.375,147.235,0,-1,0
cero,10.826,195.568,174.891,0,-1,0
cero,9.125,194.886,142.51,0,-1,0
cero,9,188.367,153.111,0,-1,0
cero,16.0588,171.768,33.8897,0,-1,0
cero,9,184.903,153.25,0,-1,0
cero,12.2571,37.6981,31.0321,0,-1,0
cero,8.91781,184.851,146.632,0,-1,0
cero,9,188.032,154.625,0,-1,0
cero,18,166.117,38.1113,0,-1,0
cero,10.9282,190.154,181.602,0,-1,0
cero,9.63857,192.541,183.106,0,-1,0
cero,12.5556,104.452,33.1157,0,-1,0
