id;a0;a1;a2;a3;a4;Column1
cero;31;206.744;0.000812841;0;-1;0
cero;31;201.62;0.00580111;0;-1;0
cero;31;280.66;0.000235432;0;-1;0
cero;31;190.447;0.00429734;0;-1;0
cero;31;183.799;0.000284196;0;-1;0
cero;31;240.404;0.000224416;0;-1;0
cero;31;201.133;0.00554184;0;-1;0
cero;31;327.761;0.000267205;0;-1;0
cero;31;301.738;0.000499575;0;-1;0
cero;31;225.372;0.000317393;0;-1;0
cero;31;213.874;0.00988267;0;-1;0
cero;31;168.33;0.000358524;0;-1;0
cero;31;216.977;0.00481;0;-1;0
cero;31;141.603;0.000199155;0;-1;0
cero;31;221.537;0.000245695;0;-1;0
cero;31;204.579;0.00104723;0;-1;0
cero;31;39.5638;0.000235655;0;-1;0
cero;31;204.033;0.00394391;0;-1;0
cero;31;187.04;0.000819354;0;-1;0
cero;31;227.053;0.00081108;0;-1;0
cero;31;205.253;0.000212212;0;-1;0
cero;31;205.224;0.000223162;0;-1;0
cero;31;322.118;0.000212719;0;-1;0
cero;31;230.258;0.000207506;0;-1;0
cero;31;193.119;0.00573913;0;-1;0
cero;31;208.848;0.0042491;0;-1;0
cero;31;222.986;0.000319697;0;-1;0
cero;31;214.206;0.000187652;0;-1;0
cero;31;269.791;0.000392276;0;-1;0
cero;31;199.47;0.00222343;0;-1;0
cero;31;186.191;0.000257227;0;-1;0
cero;31;194.403;0.00202509;0;-1;0
cero;31;202.46;0.00109725;0;-1;0
cero;31;255.552;0.000225983;0;-1;0
cero;31;207.885;0.00435289;0;-1;0
cero;31;205.487;0.00284829;0;-1;0
cero;31;208.599;0.00215041;0;-1;0
cero;31;210.695;0.000297477;0;-1;0
cero;31;275.995;0.000206941;0;-1;0
cero;31;148.366;0.000210683;0;-1;0
cero;31;99.1014;0.000342967;0;-1;0
cero;31;289.654;0.000416647;0;-1;0
cero;31;210.513;0.000222931;0;-1;0
cero;31;293.411;0.000378729;0;-1;0
cero;31;114.908;0.000235733;0;-1;0
cero;31;92.4763;0.000192294;0;-1;0
cero;31;151.431;0.000232964;0;-1;0
cero;31;218.368;0.00341494;0;-1;0
cero;31;209.579;0.00114573;0;-1;0
cero;31;279.085;0.000421991;0;-1;0
cero;31;331.297;0.000283815;0;-1;0
cero;31;201.564;0.00179545;0;-1;0
cero;31;236.77;0.000199976;0;-1;0
cero;31;347.062;0.000188346;0;-1;0
cero;31;215.789;0.000366873;0;-1;0
cero;31;202.58;0.00386591;0;-1;0
cero;31;216.815;0.000218521;0;-1;0
cero;31;234.515;0.000222577;0;-1;0
cero;31;209.707;0.0045646;0;-1;0
cero;31;209.26;0.00122547;0;-1;0
cero;31;276.512;0.000247779;0;-1;0
cero;31;207.046;0.000640129;0;-1;0
cero;31;280.427;0.000201479;0;-1;0
cero;31;201.111;0.00232519;0;-1;0
cero;31;203.937;0.00135867;0;-1;0
cero;31;281.893;0.000226087;0;-1;0
cero;31;181.756;0.00106917;0;-1;0
cero;31;223.681;0.00139117;0;-1;0
cero;31;191.444;0.00269253;0;-1;0
cero;31;127.875;0.000232161;0;-1;0
cero;31;226.569;0.00042033;0;-1;0
cero;31;116.357;0.00034102;0;-1;0
cero;31;233.828;0.000191522;0;-1;0
cero;31;181.118;0.00188778;0;-1;0
cero;31;196.984;0.00558828;0;-1;0
cero;31;94.8218;0.000236133;0;-1;0
cero;31;277.897;0.000253645;0;-1;0
cero;31;137.939;0.000258384;0;-1;0
cero;31;203.875;0.000255487;0;-1;0
cero;31;46.4746;0.000210966;0;-1;0
cero;31;207.682;0.00034995;0;-1;0
cero;31;192.909;0.000478065;0;-1;0
cero;31;116.886;0.000271198;0;-1;0
cero;31;198.483;0.00405051;0;-1;0
cero;31;276.329;0.000415187;0;-1;0
cero;31;295.901;0.000338216;0;-1;0
