id,a0,a1,a2,a3,a4
0, 31,206.744,0.000812841,0,-1,0
0, 31,201.62,0.00580111,0,-1,0
0, 31,280.66,0.000235432,0,-1,0
0, 31,190.447,0.00429734,0,-1,0
0, 31,183.799,0.000284196,0,-1,0
0, 31,240.404,0.000224416,0,-1,0
0, 31,201.133,0.00554184,0,-1,0
0, 31,327.761,0.000267205,0,-1,0
0, 31,301.738,0.000499575,0,-1,0
0, 31,225.372,0.000317393,0,-1,0
0, 31,213.874,0.00988267,0,-1,0
0, 31,168.33,0.000358524,0,-1,0
0, 31,216.977,0.00481,0,-1,0
0, 31,141.603,0.000199155,0,-1,0
0, 31,221.537,0.000245695,0,-1,0
0, 31,204.579,0.00104723,0,-1,0
0, 31,39.5638,0.000235655,0,-1,0
0, 31,204.033,0.00394391,0,-1,0
0, 31,187.04,0.000819354,0,-1,0
0, 31,227.053,0.00081108,0,-1,0
0, 31,205.253,0.000212212,0,-1,0
0, 31,205.224,0.000223162,0,-1,0
0, 31,322.118,0.000212719,0,-1,0
0, 31,230.258,0.000207506,0,-1,0
0, 31,193.119,0.00573913,0,-1,0
0, 31,208.848,0.0042491,0,-1,0
0, 31,222.986,0.000319697,0,-1,0
0, 31,214.206,0.000187652,0,-1,0
0, 31,269.791,0.000392276,0,-1,0
0, 31,199.47,0.00222343,0,-1,0
0, 31,186.191,0.000257227,0,-1,0
0, 31,194.403,0.00202509,0,-1,0
0, 31,202.46,0.00109725,0,-1,0
0, 31,255.552,0.000225983,0,-1,0
0, 31,207.885,0.00435289,0,-1,0
0, 31,205.487,0.00284829,0,-1,0
0, 31,208.599,0.00215041,0,-1,0
0, 31,210.695,0.000297477,0,-1,0
0, 31,275.995,0.000206941,0,-1,0
0, 31,148.366,0.000210683,0,-1,0
0, 31,99.1014,0.000342967,0,-1,0
0, 31,289.654,0.000416647,0,-1,0
0, 31,210.513,0.000222931,0,-1,0
0, 31,293.411,0.000378729,0,-1,0
0, 31,114.908,0.000235733,0,-1,0
0, 31,92.4763,0.000192294,0,-1,0
0, 31,151.431,0.000232964,0,-1,0
0, 31,218.368,0.00341494,0,-1,0
0, 31,209.579,0.00114573,0,-1,0
0, 31,279.085,0.000421991,0,-1,0
0, 31,331.297,0.000283815,0,-1,0
0, 31,201.564,0.00179545,0,-1,0
0, 31,236.77,0.000199976,0,-1,0
0, 31,347.062,0.000188346,0,-1,0
0, 31,215.789,0.000366873,0,-1,0
